,contrast,P>,P<,evidence,Model,exc.evidence
1,BH - BQ,0.999583333,0.000416667,very strong,abnd,NA
2,BH - DL,0.995,0.005,very strong,abnd,NA
3,BH - DM,0.057916667,0.942083333,evidence,abnd,NA
4,BH - W,0,1,very strong,abnd,NA
5,BQ - DL,0.29,0.71,no evidence,abnd,NA
6,BQ - DM,0,1,very strong,abnd,NA
7,BQ - W,0,1,very strong,abnd,NA
8,DL - DM,0,1,very strong,abnd,NA
9,DL - W,0,1,very strong,abnd,NA
10,DM - W,0.011666667,0.988333333,strong,abnd,NA
11,BH - BQ,1,0,very strong,hm,NA
12,BH - DL,0.991666667,0.008333333,very strong,hm,NA
13,BH - DM,0.796666667,0.203333333,no evidence,hm,NA
14,BH - W,0.49,0.51,no evidence,hm,NA
15,BQ - DL,0.05625,0.94375,evidence,hm,NA
16,BQ - DM,0.002083333,0.997916667,very strong,hm,NA
17,BQ - W,0,1,very strong,hm,NA
18,DL - DM,0.044583333,0.955416667,strong,hm,NA
19,DL - W,0.009583333,0.990416667,very strong,hm,NA
20,DM - W,0.20125,0.79875,no evidence,hm,NA
21,BH - BQ,0.839166667,0.160833333,no evidence,la,NA
22,BH - DL,0.562083333,0.437916667,no evidence,la,NA
23,BH - DM,0.205,0.795,no evidence,la,NA
24,BQ - DL,0.185833333,0.814166667,no evidence,la,NA
25,BQ - DM,0.04,0.96,strong,la,NA
26,DL - DM,0.166666667,0.833333333,no evidence,la,NA
27,W - BH,0.905833333,0.094166667,evidence,la,NA
28,W - BQ,0.987083333,0.012916667,strong,la,NA
29,W - DL,0.936666667,0.063333333,evidence,la,NA
30,W - DM,0.685833333,0.314166667,no evidence,la,NA
31,BH - BQ,0.753333333,0.246666667,no evidence,ps,NA
32,BH - DL,1,0,very strong,ps,NA
33,BH - DM,0.23875,0.76125,no evidence,ps,NA
34,BQ - DL,0.99875,0.00125,very strong,ps,NA
35,BQ - DM,0.079166667,0.920833333,evidence,ps,NA
36,DL - DM,0,1,very strong,ps,NA
37,W - BH,0.9975,0.0025,very strong,ps,NA
38,W - BQ,0.999166667,0.000833333,very strong,ps,NA
39,W - DL,1,0,very strong,ps,NA
40,W - DM,0.995,0.005,very strong,ps,NA
41,BH - BQ,0.632916667,0.367083333,no evidence,pt,NA
42,BH - DL,0.659583333,0.340416667,no evidence,pt,NA
43,BH - DM,0.031666667,0.968333333,strong,pt,NA
44,BQ - DL,0.53875,0.46125,no evidence,pt,NA
45,BQ - DM,0.017916667,0.982083333,strong,pt,NA
46,DL - DM,0.011666667,0.988333333,strong,pt,NA
47,W - BH,0.952083333,0.047916667,strong,pt,NA
48,W - BQ,0.977916667,0.022083333,strong,pt,NA
49,W - DL,0.980833333,0.019166667,strong,pt,NA
50,W - DM,0.401666667,0.598333333,no evidence,pt,NA
51,BH - BQ,0.762083333,0.237916667,no evidence,sd,NA
52,BH - DL,0.600416667,0.399583333,no evidence,sd,NA
53,BH - DM,0.050833333,0.949166667,evidence,sd,NA
54,BQ - DL,0.313333333,0.686666667,no evidence,sd,NA
55,BQ - DM,0.02,0.98,strong,sd,NA
56,DL - DM,0.03375,0.96625,strong,sd,NA
57,W - BH,0.9925,0.0075,very strong,sd,NA
58,W - BQ,0.997916667,0.002083333,very strong,sd,NA
59,W - DL,0.99625,0.00375,very strong,sd,NA
60,W - DM,0.842083333,0.157916667,no evidence,sd,NA
61,BH - BQ,0.64625,0.35375,no evidence,sf,NA
62,BH - DL,0.400416667,0.599583333,no evidence,sf,NA
63,BH - DM,0.01875,0.98125,strong,sf,NA
64,BQ - DL,0.2725,0.7275,no evidence,sf,NA
65,BQ - DM,0.008333333,0.991666667,very strong,sf,NA
66,DL - DM,0.032916667,0.967083333,strong,sf,NA
67,W - BH,0.965,0.035,strong,sf,NA
68,W - BQ,0.98375,0.01625,strong,sf,NA
69,W - DL,0.931666667,0.068333333,evidence,sf,NA
70,W - DM,0.340416667,0.659583333,no evidence,sf,NA
71,BH - BQ,0.995416667,0.004583333,NA,size,very strong
72,BH - DL,0.960833333,0.039166667,NA,size,strong
73,BH - DM,0.711666667,0.288333333,NA,size,no evidence
74,BH - W,0.839166667,0.160833333,NA,size,no evidence
75,BQ - DL,0.17125,0.82875,NA,size,no evidence
76,BQ - DM,0.01875,0.98125,NA,size,strong
77,BQ - W,0.044166667,0.955833333,NA,size,strong
78,DL - DM,0.102083333,0.897916667,NA,size,no evidence
79,DL - W,0.2225,0.7775,NA,size,no evidence
80,DM - W,0.702916667,0.297083333,NA,size,no evidence
81,BH - BQ,0.969583333,0.030416667,strong,sp,NA
82,BH - DL,0.971666667,0.028333333,strong,sp,NA
83,BH - DM,0.0325,0.9675,strong,sp,NA
84,BH - W,0.000416667,0.999583333,very strong,sp,NA
85,BQ - DL,0.505833333,0.494166667,no evidence,sp,NA
86,BQ - DM,0.000416667,0.999583333,very strong,sp,NA
87,BQ - W,0,1,very strong,sp,NA
88,DL - DM,0.000416667,0.999583333,very strong,sp,NA
89,DL - W,0,1,very strong,sp,NA
90,DM - W,0.043333333,0.956666667,strong,sp,NA
