Species,total.abnd,abnd.prop,cum.prop,days.observed,Family
Halichoeres miniatus,1862,0.47234906139015725,0.47234906139015725,18,Labridae
Petroscirtes sp.,587,0.1489091831557585,0.6212582445459157,18,Blenniidae
Pomacentrus tripunctatus,476,0.12075088787417554,0.7420091324200913,18,Pomacentridae
Siganus doliatus,381,0.09665144596651444,0.8386605783866057,18,Siganidae
Lethrinus atkinsoni,133,0.03373921867072552,0.8723997970573313,18,Lethrinidae
Siganus fuscescens,101,0.02562151192288178,0.898021308980213,18,Siganidae
Stethojulis interrupta,82,0.02080162354134956,0.9188229325215628,17,Labridae
Stethojulis strigiventer,64,0.01623541349568746,0.93505834601725,18,Labridae
Lethrinus variegatus,41,0.01040081177067478,0.9454591577879248,17,Lethrinidae
Siganus lineatus,37,0.00938609842719431,0.9548452562151192,10,Siganidae
Lutjanus carponotatus,28,0.00710299340436326,0.9619482496194824,11,Lutjanidae
Parupeneus indicus,19,0.00481988838153221,0.9667681380010148,11,Mullidae
Lethrinus nebulosus,17,0.00431253170979198,0.9710806697108066,8,Lethrinidae
Lethrinus genivittatus,16,0.00405885337392186,0.9751395230847284,9,Lethrinidae
Parupeneus barberinus,11,0.00279046169457128,0.9779299847792998,7,Mullidae
Chlorurus sp.,10,0.00253678335870116,0.9804667681380008,7,Labridae (Scarinae)
Coris batuensis,10,0.00253678335870116,0.9830035514967022,6,Labridae
Pomacentrus wardi,10,0.00253678335870116,0.9855403348554032,8,Pomacentridae
Corythoichthys sp.,8,0.00202942668696093,0.9875697615423642,6,Syngnathidae
Epinephalus merra,7,0.00177574835109081,0.989345509893455,5,Serranidae
Halichoeres nebulosus,5,0.00126839167935058,0.9906139015728056,4,Labridae
Pomacentrus chrysurus,5,0.00126839167935058,0.9918822932521564,5,Pomacentridae
Scorpaenid,5,0.00126839167935058,0.9931506849315068,3,Scorpaenidae
Lethrinus harak,4,0.00101471334348046,0.9941653982749872,4,Lethrinidae
Mulloidichthys flavolineatus,4,0.00101471334348046,0.9951801116184678,2,Mullidae
Parupeneus spilurus,4,0.00101471334348046,0.9961948249619482,3,Mullidae
Variola louti,4,0.00101471334348046,0.9972095383054288,4,Serranidae
Scarus sp.,3,7.6103500761035e-4,0.9979705733130392,3,Labridae (Scarinae)
Siganus spinus,3,7.6103500761035e-4,0.9987316083206492,2,Siganidae
Acanthurus grammoptilus,1,2.536783358701167e-4,0.9989852866565194,1,Acanthuridae
Acanthurus sp.,1,2.536783358701167e-4,0.9992389649923896,1,Acanthuridae
Dischistodus perspicillatus,1,2.536783358701167e-4,0.9994926433282596,1,Pomacentridae
Halichoeres chloropterus,1,2.536783358701167e-4,0.9997463216641298,1,Labridae
Pomacentrus adelus,1,2.536783358701167e-4,1,1,Pomacentridae
